Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Quantity in Boss's Main Deck,Quantity in Boss's Special Deck,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Turn 1 Damage?,Turn 2 Damage?,Turn 2 Condition,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount ,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount ,Strength Gain,Add Random Spiderling Amount
Punch!,"Brock, Mommy, Trogdor",Attack,,,7,,,,,,,,,CCW,5,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Brawl,Brock ,Attack,,,3,,,,,,,,,All Players,4,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Vulnerable Approach,Trogdor,Attack,,,3,,,,,,,,,Lowest,10,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,10,10,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Angwy Punch,Mommy,Attack,,,3,,,,,,,,,Highest,5,,,0,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,1,-5,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Anger,Brock,Skill,,,,1,,,,,,,,Self,,Target's user,,,,,,,,,,,Strength,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seduction,Mommy,Skill,,,,1,,,,,,,,CCW,,,,,,,,,,,,,,,,,Hinder,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handicap Helmet,Trogdor,Skill,,,,1,,,,,,,,Self,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Punch,Mr. 67,Attack,,,4,,,,,,,,,CCW,7,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Gut Punch,Mr. 67,Attack,,,4,,,,,,,,,CCW,5,,,,1,Common,TRUE,FALSE,,,,,,,,,Scared,1,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Ground Smash,Mr. 67,Attack,,,2,,,,,,,,,All Players,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein Shake,Mr. 67 Special,Skill,,,,2,,,,,,,,Self,,,,,,,TRUE,FALSE,,,,,,,,Strength,2,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Muscle Shield ,Mr. 67 Special,Skill,,,,6,,,,,,,,Self,,,,5,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Intimidating Flex,Mr. 67 Special,Skill,,,,2,,,,,,,,Highest Current Health Player,,,,,,,TRUE,FALSE,,,,,,,,,Hinder,2,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Name,Hp,Encounter Location(s),Cards Played From Main Deck Per Turn,Probability of Playing 2 Cards from Main Deck Per turn (Instead of 1),Probability of Playing one Card from Special Deck per turn,Probability of Playing Two Cards from Special Deck per turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock,25,second Minion  fight,1,0,60%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mommy,35,second Minion  fight,1,0,40%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trogdor,25,second Minion  fight,1,5%,50%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. 67,75,Second Boss Fight,1,30%,70%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
