Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Alc Water Discard ,Alc Earth Discard,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Turn 1 Damage?,Turn 2 Damage?,Turn 2 Condition,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount ,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount ,Strength Gain,Add Random Spiderling Amount
Spell: Fire Smash,Kevin,Attack,,,,,,Fire,2,,,,Single,,5,,,0,1,Common,TRUE,FALSE,,,,,,,,,,0,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Water Ball,Kevin,Attack,,,,,,Water,1,,,,Single,,1,,,0,1,Common,TRUE,FALSE,,,,,,,,,Wet,1,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Earth Quake,Kevin,Attack,,,,,,Earth,1,,,,All,,2,,,0,1,Common,TRUE,FALSE,,,,,,,,,,0,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Fiery Flash!,Kevin,Attack,,,,,,Fire,2,,,,Single,,4,,,0,1,Common,TRUE,FALSE,,,,,,,,,Hinder,4,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Alc': Lightning Storm,Kevin Satchel,Attack,,,1,1,,Wind,2,,,,Single,,3,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Alc': Accumulation,Kevin Satchel,Attack,,,1,,1,Dark,2,,,,Single,,0,,,,1,Rare,TRUE,FALSE,,,,,,,,,,,,,,TRUE,3,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Poke,Kevin,Attack,,,,,,,1,,,,Single,,2,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Tsunami, Kevin Special,Attack,,,,,,Water,2,,,,All,,4,,,,1,Common,TRUE,FALSE,,,,,,,,,Wet,1,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Repurpose,Kevin Special,Attack,,,,,,,0,,,,Single,,2,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,1,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Spell: Future Vision,Kevin Reward,Skill,,,,,,Earth,0,,,1,,,,,,,0,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
