Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Alc Earth Discard,Alc Water Discard,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Quantity in Boss's Main Deck,Quantity in Boss's Special Deck,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Deals Damage on Following Turn Instead?,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Self Buff Amount,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target gains Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount,Strength Gain,Add Random Spiderling Amount
Ankle Nibble,swarm of racoons Main deck,Attack,,,,,,,,,,5,,,,Player who has Target CCW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarm!,swarm of racoons Main deck,Attack,,,,,,,,,,5,,,,All Players,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monkey Punch!,Alex's deck,Attack,,,,,,,,,,7,,,,Player who has Target CCW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It bit my Hand!,Alex's deck,Attack,,,,,,,,,,3,,,,Highest current health Player,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,Alex's Special deck,Skill,,,,,,,,,,,1,,,Target's user,,,,,,,,,,,Strength,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charge,Giant Moose's deck,Attack,,,,,,,,,,4,,,,Lowest current health Player,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stomp,Giant Moose's deck,Attack,,,,,,,,,,4,,,,All Players,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knocked Off your Feet,Giant Moose's deck,Attack,,,,,,,,,,2,,,,Highest current health Player,5,,,,,,,,,,,,,,,Hinder,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roar!,Giant Moose's Special deck,Skill,,,,,,,,,,,5,,,Highest current health Player,,,,,,,,,,,,,,,,Scared,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forage,Giant Moose's Special deck,Skill,,,,,,,,,,,2,,,Target's user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
Fur Coat,Giant Moose's Special deck,Skill,,,,,,,,,,,3,,,Target's user,,,,,,,,,,,Shield,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Name,Hp,Encounter Location(s),Cards Played From Main Deck Per Turn,Probability of Playing one Card from Special Deck per turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swarm of Racoons,35,Minion Fight 1,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex,45,Minion Fight 1,1,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Moose,60,Boss Fight 1,1,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
