Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Alc Water Discard ,Alc Earth Discard,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Turn 1 Damage?,Turn 2 Damage?,Turn 2 Condition,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount ,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount ,Strength Gain,Add Random Spiderling Amount
Expulsion ,Enrique,Attack,,,,,,,2,All,,,All,,Total Aura,,,,1,Common,TRUE,FALSE,,,,,,,,,,0,3,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Focused Purge,Enrique,Attack,,,,,,,1,,1,,Single,,3,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Holy Plight,Enrique,Attack,,,,,,,1,2,,,Single,,5,,,,1,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Prayer Beads,Enrique Special,Attack,,,,,,,1,1,,,Single,,D6,,,,1,Rare,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Humble Request,Enrique ,Skill,,,,,,,1,,2,,,,,,,,0,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Divine Reflection,Enrique,Skill,,,,,,,0,3,,,,,,,,,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,FALSE,,,,,,,,,
Healing Aura,Enrique,Skill,,,,,,,0,2,,,Any Player,,,,,,,Common,TRUE,FALSE,,,,,,,Decay,,,,,,,,,,,,,,FALSE,,10,,,,,,,FALSE,,,,,,,,,
Magical Purge,Enrique,Skill,,,,,,,0,2,,,,,,,,,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,1,,,,,,FALSE,,,,,,,,,
Story Of Jacob,Enrique,Skill,,,,,,,1,,5,,,,,,,,,Common,TRUE,FALSE,,,,,,,Fatigued,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Protection,Enrique,Skill,,,,,,,1,1,,,Any Player,,,,5,,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Divine Force,Enrique Reward,Skill,,,,,,,2,2,,,Any Player,,,,,,,,TRUE,FALSE,,,,Decay,,,,,,,,,,,,,,,,,FALSE,,10,,,,,,,FALSE,,,,,,,,,
Divine Force v2,Enrique Reward,Skill,,,,,,,2,2,,,Single,,6,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Purging Water,Enrique Reward,Skill,,,,,,,1,1,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,1,,,,
Divine Barrier ,Enrique Reward,Skill,,,,,,,1,3,,,Any Player,,,,,,,,TRUE,FALSE,,,,,,,,Invinsible,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Refuge,Enrique Reward,Skill,,,,,,,1,,1,,,,,,,5,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Gift,Enrique Reward,Skill,,,,,,,0,2,,,Any Player,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,2,,,,FALSE,,,,,,,,,
Divine Gift,Enrique Reward,Skill,2,,,,,,2,2,,,Any Player,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Guy with Beard,Enrique Reward,Skill,,,,,,,0,2,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,1,,,FALSE,,,,,,,,,
Energy!,Enrique Reward,Skill,,1,,,,,0,,,,,,,,,,0,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,
Meditate,Enrique Reward,Skill,,,,,,,1,,,,,,,,,,,Common,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,2,,,,,FALSE,,,,,,,,,
