Card Name,Card Location,Card Type,Target Stamina Gain,Stamina Gain,Alc Water Discard,Alc Earth Discard,Alc Fire Discard,Spell Element,Stamina Cost,Aura Cost,Aura Gain,Target Boss reveal cards,Player's Target,Boss's Target,Damage,All Players Shield Gain,Target Shield Gain,Self Shield Gain,Total Attacks,Rarity,Turn 1 Damage?,Turn 2 Damage?,Turn 2 Condition,Additional Turn 1 Damage Condition,Additional Damage,Self Debuff,Self Buff,Next Turn Self Buff,Next Turn Self Debuff,Target gains Buff,Target gains Debuff,Target Debuff Amount,Additional Damage per target's Wet,Additional Damage per target's Venom,Additional Damager per Target's Total Debuffs,Discard All Spells?,Additional Damage per spell discarded,Discard Any Spell requirement Amount,Additional Damage per Angry on board,Damage taken induces reduction requirement,Damage reduction by Damage Taken,Targets Card Gains Played Twice?,Played Twice?,Self Heal Amount,Target Heal Amount,Target Remove Debuffs amount,Draw Cards,Target Draw Cards,All Players Draw Cards,Retain Card in Hand,Takes all Target's damage and Debuffs this turn,Take All Players Damage this Turn?,Remove all Wet,Heal Target for Each Wet Removed,Choose Spell(s) from Deck Amount,Target Gain Stamina Amount,Remove Self Debuff Amount,Discard Cards Requirement Amount,Other Players Draw Cards Amount,Strength Gain,Add Random Spiderling Amount
Slash,Fabio,Attack,,,,,,,2,,,,Single,,7,,,0,1,Common,1,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,
Big Smack,Fabio,Attack,,,,,,,3,,,,Single,,10,,,0,1,Common,1,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,
Duel Purpose,Fabio,Attack,,,,,,,1,,,,Single,,3,,,5,1,Common,1,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,
Rest,Fabio,Skill,,,,,,,1,,,,Self,,,,,,0,Common,1,0,,,,,,Rested,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
Bulk Up,Fabio,Skill,,,,,,,0,,,,Self,,,,,,0,Common,1,0,,,,,Invigorated,,Fatigued,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,
Dig a Hole,Fabio,Skill,,,,,,,0,,,,Single Ally,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,0,,,,,,,,,
Protector,Fabio,Skill,,,,,,,0,,,,Single Ally,,,,,1,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Protective Footwear,Fabio,Skill,,,,,,,1,,,,Self,,,,,5,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,
Hunter's Instinct,Fabio,Skill,,,,,,,1,,,,Self,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,0,,,,,,,,,
test,Fabio Reward,Skill,,,,,,,0,,,,All Allies,,,,,,0,Common,1,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,2,2,,
